Index,Label,Ch,CC,Value,In/01,In/02,In/03,In/04,In/05,In/06,In/07,In/08,In/09,In/10,In/11,In/12,In/13,In/14,In/15,In/16,In/17,In/18,In/19,In/20,In/21,In/22,In/23,In/24,In/25,In/26,Pb/01,Pb/02,Pb/03,Pb/04,Pb/05,Pb/06,Pb/07,Pb/08,Pb/09,Pb/10,Pb/11,Pb/12,Pb/13,Pb/14,Pb/15,Pb/16,Pb/17,Pb/18,Pb/19,Pb/20,Pb/21,Pb/22,Pb/23,Pb/24,Ou/01,Ou/02,Ou/03,Ou/04,Ou/05,Ou/06,Ou/07,Ou/08,Ou/09,Ou/10,Ou/11,Ou/12,Ou/13,Ou/14,Ou/15,Ou/16,Ou/17,Ou/18,Ou/19,Ou/20,Ou/21,Ou/22,Ou/23,Ou/24,Ou/25,Ou/26
Totalmix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Label,,,,,1 DI,2 DI,3 Pre,4 Mic,5 In,6 In,7 Send,8 Send,9 In,10 In,FX,SE,Tape,,Revox,,EPM Master,,Front In 1,Front In 2,P In 3/4,P In 3/4,P In 5/6,P In 5/6,P in 7 Uher,P In 8,DAW 1,DAW 2,DAW 3,DAW 4,DAW 7,DAW 8,DAW 9,DAW 10,DAW 11,DAW 12,DAW 15,DAW 16,DAW 17,DAW 18,DAW 19,DAW 20,DAW 21,DAW 22,DAW 23,DAW 24,DAW 25,DAW 26,DAW 27,DAW 28,Stereo 1,,Stereo 2 ,,7 EPM,8 EPM,9 EPM,10 EPM,11 EPM FX,12 EPM SE,Loopback,Loopback,Tape,,Revox,,Phones 1,,Send 1,Send 2,Uher Out 3,SE Out 4,P Out 5/6,,Phones 2,
Mono/Stereo,,,,,Mono,Mono,Mono,Mono,Mono,Mono,Mono,Mono,Mono,Mono,Mono,Mono,Stereo-----------------------,,Stereo-----------------------,,Stereo-----------------------,,Mono,Mono,Stereo-----------------------,,Stereo-----------------------,,Mono,Mono,Stereo-----------------------,,Stereo-----------------------,,Mono,Mono,Mono,Mono,Mono,Mono,Stereo-----------------------,,Stereo-----------------------,,Stereo-----------------------,,Mono,Mono,Mono,Mono,Stereo-----------------------,,Stereo-----------------------,,Stereo-----------------------,,Stereo-----------------------,,Mono,Mono,Mono,Mono,Mono,Mono,Stereo-----------------------,,Stereo-----------------------,,Stereo-----------------------,,Stereo-----------------------,,Mono,Mono,Mono,Mono,Stereo-----------------------,,Stereo-----------------------,
Fader 1,,1,0,x,Ou/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fader 2,,1,1,x,,Ou/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fader 3,,1,2,x,,,Ou/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fader 4,,1,3,x,,,,Ou/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fader 5,,1,4,x,,,,,Ou/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fader 6,,1,5,x,,,,,,Ou/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fader 7,,1,6,x,,,,,,,Ou/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
